date,Open,High,Low,Close,Volume
2023-07-11,1880.62,1891.7,1862.23,1878.66,4905225892.0
2023-07-12,1878.58,1905.0,1864.17,1871.65,6379007000.0
2023-07-13,1871.65,2014.26,1862.44,2005.95,11114853969.0
2023-07-14,2005.95,2029.34,1898.88,1938.91,10627449471.0
2023-07-15,1938.99,1947.04,1926.92,1931.9,4380084234.0
2023-07-16,1931.89,1944.15,1914.75,1923.38,4329306566.0
2023-07-17,1923.21,1936.93,1873.61,1911.38,6678090758.0
2023-07-18,1911.26,1917.49,1876.01,1897.72,5814708445.0
2023-07-19,1897.72,1922.33,1882.15,1888.73,6018487800.0
2023-07-20,1888.65,1929.03,1877.77,1891.72,7366830684.0
2023-07-21,1891.76,1905.41,1884.43,1891.92,4668158260.0
2023-07-22,1891.92,1897.62,1851.35,1866.69,4101305643.0
2023-07-23,1866.61,1905.24,1858.19,1888.65,4480604100.0
2023-07-24,1888.64,1890.93,1832.83,1849.69,6344373569.0
2023-07-25,1849.68,1868.14,1844.69,1857.28,4163381707.0
2023-07-26,1857.29,1887.75,1848.03,1871.92,5781548155.0
2023-07-27,1871.92,1886.15,1854.39,1860.88,4291339248.0
2023-07-28,1860.87,1882.77,1856.18,1874.05,3800973336.0
2023-07-29,1874.01,1886.26,1869.1,1880.71,2497302218.0
2023-07-30,1880.88,1885.46,1848.81,1861.65,4003005547.0
2023-07-31,1861.65,1876.82,1850.55,1856.0,4391613314.0
2023-08-01,1856.09,1874.88,1812.0,1872.89,7634860636.0
2023-08-02,1872.78,1878.86,1820.1,1838.92,6448512422.0
2023-08-03,1838.91,1857.6,1824.0,1834.34,4710581074.0
2023-08-04,1834.34,1849.99,1813.45,1827.3,4861242484.0
2023-08-05,1827.3,1837.16,1824.45,1834.66,2866049749.0
2023-08-06,1834.66,1836.92,1823.7,1827.5,2963395076.0
2023-08-07,1827.49,1844.11,1800.0,1826.9,5837881974.0
2023-08-08,1826.9,1876.1,1824.0,1855.71,5812855406.0
2023-08-09,1855.71,1870.85,1843.35,1854.09,5870081833.0
2023-08-10,1854.09,1864.35,1844.07,1850.38,3760304518.0
2023-08-11,1850.38,1855.54,1836.41,1846.76,3353025102.0
2023-08-12,1846.77,1852.7,1844.93,1849.09,2291124840.0
2023-08-13,1849.08,1859.99,1833.03,1838.98,3054625661.0
2023-08-14,1838.98,1854.19,1833.27,1844.01,4083364724.0
2023-08-15,1844.0,1845.65,1811.34,1827.19,4483923893.0
2023-08-16,1827.19,1829.39,1795.15,1805.51,4976573383.0
2023-08-17,1805.51,1808.18,1540.0,1681.42,14208462072.0
